領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,334,,A318,周玟觀,通識中心,40,39,1,中文,
人文,文學,0302,西方電影文學 Western Literature and Film Adaptation,2,378,,Y104,蔡淑惠,通識中心,50,51,0,英文,英語授課
人文,文學,0303,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,43,7,中文,
人文,文學,0304,英美文學導讀 Approaches to Literature,2,156,,Y112,周幸君,通識中心,60,47,13,中文,
人文,文學,0306,文學探索 Exploring Literature,2,234,,Y301,尤雅姿,通識中心,50,35,15,中文,
人文,文學,0308,寓言文學欣賞 Readings of Fables Literature,2,278,,Y201,林淑貞,通識中心,50,46,4,中文,
人文,文學,0309,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y202,林建光,通識中心,50,48,2,中文,
人文,文學,0310,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,234,,Y201,黃東陽,通識中心,40,34,6,中文,
人文,歷史,0313,近百年臺灣發展與變遷 Modern Taiwan History,2,356,,Y202,賴郁君,通識中心,60,60,0,中文,
人文,歷史,0314,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y206,黃純怡,通識中心,50,56,0,中文,
人文,歷史,0315,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y206,黃純怡,通識中心,50,51,0,中文,
人文,歷史,0316,中國歷史與民間傳說 Chinese History and Tales,2,356,,Y206,黃純怡,通識中心,50,55,0,中文,
人文,歷史,0317,現代世界的形成 The Formation of Modern World,2,189,,Y409,林志龍,通識中心,75,75,0,中文,
人文,歷史,0318,現代商業史 A History of Modern Business,2,156,,Y409,林志龍,通識中心,75,82,0,中文,
人文,歷史,0319,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,69,1,中文,
人文,歷史,0320,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y304,李毓嵐,通識中心,70,77,0,中文,
人文,歷史,0321,歷史與人生 History and Human Life,2,434,,Y401,林益德,通識中心,60,67,0,中文,
人文,歷史,0322,歷史與人生 History and Human Life,2,256,,Y207,蔡宗憲,通識中心,50,60,0,中文,
人文,歷史,0323,中國現代史 Contemporary Chinese History,2,178,,Y305,游博清,通識中心,50,49,1,中文,
人文,歷史,0324,西方健康文化史 Western Cultural History of Health,2,267,,Y204,陳樂元,通識中心,50,43,7,中文,
人文,歷史,0325,西方健康文化史 Western Cultural History of Health,2,289,,Y204,陳樂元,通識中心,50,46,4,中文,
人文,哲學,0330,生命教育 Life Education,2,412,,Y308,楊謦綺,通識中心,60,55,5,中文,
人文,哲學,0331,倫理學與當代議題 Ethics and Contemporary Issues,2,312,,Y403,翟挹,通識中心,70,68,2,中文,
人文,哲學,0332,倫理學與當代議題 Ethics and Contemporary Issues,2,512,,Y403,翟挹,通識中心,70,73,0,中文,
人文,哲學,0333,實用邏輯學 Applied Logics,2,356,,Y212,顧毓民,通識中心,70,55,15,中文,
人文,哲學,0334,實用邏輯學 Applied Logics,2,434,,Y212,顧毓民,通識中心,70,54,16,中文,
人文,哲學,0335,實用邏輯學 Applied Logics,2,534,,Y212,顧毓民,通識中心,70,55,15,中文,
人文,哲學,0336,美學 Aesthetics,2,312,,Y208,張盈馨,通識中心,70,72,0,中文,
人文,哲學,0337,美學 Aesthetics,2,334,,Y208,張盈馨,通識中心,70,70,0,中文,
人文,哲學,0338,哲學概論 Introduction to Philosophy,2,234,,Y208,張盈馨,通識中心,70,73,0,中文,
人文,哲學,0339,哲學概論 Introduction to Philosophy,2,156,,Y204,程諾蘭,通識中心,70,65,5,中文,
人文,哲學,0340,哲學概論 Introduction to Philosophy,2,256,,Y212,顧毓民,通識中心,70,50,20,中文,
人文,哲學,0341,哲學概論 Introduction to Philosophy,2,556,,Y212,顧毓民,通識中心,70,53,17,中文,
人文,藝術,0345,美術工作坊 Art Workshop,2,134,,A318,蕭怡姍,通識中心,40,49,0,中文,本課程於第2週開始上課(相關說明詳課綱)
人文,藝術,0346,美術工作坊 Art Workshop,2,156,,A318,蕭怡姍,通識中心,40,48,0,中文,本課程於第2週開始上課(相關說明詳課綱)
人文,藝術,0347,美術工作坊 Art Workshop,2,178,,A318,蕭怡姍,通識中心,31,31,0,中文,本課程於第2週開始上課(相關說明詳課綱)
人文,藝術,0348,藝術的故事 The Story of Art,2,256,,Y206,劉瑞寬,通識中心,50,53,0,中文,
人文,藝術,0349,視覺藝術欣賞 Visual Art Appreciation,2,256,,Y309,吳如玉,通識中心,70,68,2,中文,
人文,藝術,0350,視覺藝術欣賞 Visual Art Appreciation,2,278,,Y309,吳如玉,通識中心,70,64,6,中文,
人文,藝術,0351,古典音樂賞析 Classical Music Appreciation,2,156,,A317,李美賢,通識中心,70,66,4,中文,本課程不開放特殊情形權限加選
人文,藝術,0352,古典音樂賞析 Classical Music Appreciation,2,178,,A317,李美賢,通識中心,70,69,1,中文,本課程不開放特殊情形權限加選
人文,藝術,0353,古典音樂賞析 Classical Music Appreciation,2,256,,A317,李美賢,通識中心,70,67,3,中文,本課程不開放特殊情形權限加選
人文,藝術,0354,古典音樂賞析 Classical Music Appreciation,2,278,,A317,李美賢,通識中心,70,67,3,中文,本課程不開放特殊情形權限加選
人文,藝術,0355,古典音樂賞析 Classical Music Appreciation,2,412,,A317,陳欣宜,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選
人文,藝術,0356,古典音樂賞析 Classical Music Appreciation,2,434,,A317,陳欣宜,通識中心,70,65,5,中文,本課程不開放特殊情形權限加選
人文,藝術,0357,古典音樂賞析 Classical Music Appreciation,2,456,,A317,陳欣宜,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0358,古典音樂賞析 Classical Music Appreciation,2,478,,A317,陳欣宜,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選
人文,藝術,0359,古典音樂賞析 Classical Music Appreciation,2,112,,A317,陳彥蓉,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0360,古典音樂賞析 Classical Music Appreciation,2,134,,A317,陳彥蓉,通識中心,70,74,0,中文,本課程不開放特殊情形權限加選
人文,藝術,0361,古典音樂賞析 Classical Music Appreciation,2,312,,A317,陳彥蓉,通識中心,70,67,3,中文,本課程不開放特殊情形權限加選
人文,藝術,0362,古典音樂賞析 Classical Music Appreciation,2,334,,A317,陳彥蓉,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選
人文,藝術,0363,電影美學 Cinematic Aesthetics,2,156,,Y605,廖瑩芝,通識中心,48,35,13,英文,英語授課
人文,藝術,0364,幫派電影與暴力美學 Gangster Films and Aesthetics of Violence,2,134,,Y605,廖瑩芝,通識中心,48,40,8,英文,英語授課
人文,藝術,0365,幫派電影與暴力美學 Gangster Films and Aesthetics of Violence,2,178,,Y605,廖瑩芝,通識中心,48,30,18,英文,英語授課
人文,文化,0369,世界宗教與人生價值 Religions of the World and Values of Life,2,356,,Y208,賴淑蘭,通識中心,50,49,1,中文,
人文,文化,0370,日本文化 Japanese Culture,2,289,,Y402,徐睿鎂,通識中心,60,59,1,中文,本課程不開放特殊情形權限加選
人文,文化,0371,日本文化 Japanese Culture,2,434,,Y308,楊謦綺,通識中心,60,60,0,中文,
人文,文化,0372,日本文化 Japanese Culture,2,256,,Y302,蕭涵珍,通識中心,50,56,0,中文,
人文,文化,0373,歷史·生活與學習 Life and Learning in History,2,434,,Y204,宋德喜,通識中心,60,55,5,中文,
人文,文化,0374,中國士人文化 Chinese Literati Culture,2,378,,Y304,王仁祥,通識中心,60,50,10,中文,
人文,文化,0375,中國士人文化 Chinese Literati Culture,2,412,,Y304,王仁祥,通識中心,60,51,9,中文,
人文,文化,0376,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,156,,Y207,蕭振聲,通識中心,50,47,3,中文,
人文,文化,0377,數位時代下的文化旅遊 Cultural Tourism in the Digital Time,3,4234,,A205,高嘉勵等,通識中心,50,44,6,中文,
人文,文化,0378,日本漫畫文化論 Japanese Manga Culture Inquiry,2,234,,Y112,陳仲偉,通識中心,120,115,5,中文,本課程不開放特殊情形權限加選
人文,文化,0379,日本漫畫文化論 Japanese Manga Culture Inquiry,2,256,,Y112,陳仲偉,通識中心,120,118,2,中文,本課程不開放特殊情形權限加選
人文,文化,0380,國際禮儀與專業形象 International Etiquette and Professional Image,2,278,,Y302,林慶弧,通識中心,70,63,7,中文,
人文,文化,0381,多元文化在臺灣 Multicultural in Taiwan,2,512,,Y104,吳政憲,通識中心,110,105,5,中文,本課程不開放特殊情形權限加選
人文,文化,0382,多元文化在臺灣 Multicultural in Taiwan,2,534,,Y104,吳政憲,通識中心,110,111,0,中文,本課程不開放特殊情形權限加選
人文,文化,0383,多元文化在臺灣 Multicultural in Taiwan,2,312,,Y104,吳政憲,通識中心,110,111,0,中文,本課程不開放特殊情形權限加選
人文,文化,0384,"語言、文化與溝通 Language, Culture and Communication",2,256,,LI412,張文俐,通識中心,60,54,6,英文,英語授課
人文,文化,0385,"語言、文化與溝通 Language, Culture and Communication",2,356,,LI412,張文俐,通識中心,60,57,3,英文,英語授課
人文,文化,0386,數位臺灣與文化 Digital Taiwan and Culture,2,356,,Y303,詹閔旭,通識中心,60,61,0,中文,
人文,文化,0387,數位臺灣與文化 Digital Taiwan and Culture,2,378,,Y303,詹閔旭,通識中心,60,56,4,中文,
人文,文化,0388,影像臺灣 The Image of Taiwan,2,434,,A607,李育霖,通識中心,50,58,0,中文,
人文,文化,0150,日本文化 Japanese Culture,2,4AB,,Y212,楊謦綺,夜不限系別,60,52,8,中文,
人文,文化,0151,歷史·生活與學習 Life and Learning in History,2,2CD,,Y207,宋德喜,夜不限系別,50,41,9,中文,可採計舊制歷史學群
人文,文化,0152,歷史·生活與學習 Life and Learning in History,2,2AB,,Y207,宋德喜,夜不限系別,50,35,15,中文,可採計舊制歷史學群
人文,文化,0153,多元文化在臺灣 Multicultural in Taiwan,2,2AB,,Y212,吳政憲,夜不限系別,75,74,1,中文,
人文,文化,0154,多元文化在臺灣 Multicultural in Taiwan,2,3AB,,Y212,吳政憲,夜不限系別,75,75,0,中文,
人文,藝術,0155,美術工作坊 Art Workshop,2,2AB,,Y605,蕭怡姍,夜不限系別,40,44,0,中文,本課程於第二週開始上課(相關說明詳課綱)
人文,哲學,0156,倫理學與當代議題 Ethics and Contemporary Issues,2,3CD,,Y309,翟挹,夜不限系別,50,50,0,中文,
人文,文化,0157,多元文化在臺灣 Multicultural in Taiwan,2,3CD,,Y212,吳政憲,夜不限系別,75,74,1,中文,
人文,藝術,0158,視覺藝術欣賞 Visual Art Appreciation,2,1AB,,Y112,王婉如,夜不限系別,50,48,2,中文,
人文,哲學,0160,實用邏輯學 Applied Logics,2,4AB,,Y409,顧毓民,夜不限系別,50,17,33,中文,
人文,歷史,0162,歷史與人生 History and Human Life,2,1AB,,Y303,蘇全正,夜不限系別,50,26,24,中文,可採計舊制歷史學群
