選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
1701,大學國文 College Chinese,全,2,112,Y304,趙家琦,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1702,大學國文 College Chinese,全,2,112,Y312,林文彬,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1703,大學國文 College Chinese,全,2,112,Y308,周玟觀,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1704,大學國文 College Chinese,全,2,112,Y301,石美玲,通識中心,40,37,3,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1705,大學國文 College Chinese,全,2,112,Y303,陳昌遠,通識中心,40,39,1,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1706,大學國文 College Chinese,全,2,112,Y204,王正良,通識中心,40,21,19,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1707,大學國文 College Chinese,全,2,112,Y202,黃東陽,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1708,大學國文 College Chinese,全,2,112,Y203,余佳韻,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1709,大學國文 College Chinese,全,2,112,Y207,黃慧鳳,通識中心,40,37,3,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1710,大學國文 College Chinese,全,2,112,Y206,蕭振聲,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1711,大學國文 College Chinese,全,2,112,Y208,張錦瑤,通識中心,40,38,2,中文,限企管、生科AB、土木AB、機械AB、環工、材料選修
1713,大學國文 College Chinese,全,2,189,Y305,黃慧鳳,通識中心,40,39,1,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1714,大學國文 College Chinese,全,2,189,Y206,解昆樺,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1715,大學國文 College Chinese,全,2,189,Y207,黃東陽,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1716,大學國文 College Chinese,全,2,189,Y208,王正良,通識中心,40,38,2,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1717,大學國文 College Chinese,全,2,189,Y211,蕭涵珍,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1718,大學國文 College Chinese,全,2,189,Y301,趙家琦,通識中心,40,40,0,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1719,大學國文 College Chinese,全,2,189,Y302,余佳韻,通識中心,40,39,1,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1720,大學國文 College Chinese,全,2,189,Y307,張錦瑤,通識中心,40,38,2,中文,限園藝、食生、動科、歷史、植病、土環、國農企學程、生物科技學程選修
1722,大學國文 College Chinese,全,2,212,Y307,張俐盈,通識中心,40,38,2,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1723,大學國文 College Chinese,全,2,212,Y312,林文彬,通識中心,40,39,1,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1724,大學國文 College Chinese,全,2,212,Y208,丘彥遂,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1725,大學國文 College Chinese,全,2,212,Y305,陳建源,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1726,大學國文 College Chinese,全,2,212,Y303,余佳韻,通識中心,40,36,4,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1727,大學國文 College Chinese,全,2,212,Y204,解昆樺,通識中心,40,38,2,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1728,大學國文 College Chinese,全,2,212,Y202,蕭振聲,通識中心,40,40,0,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1729,大學國文 College Chinese,全,2,212,Y203,黃慧鳳,通識中心,40,32,8,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1730,大學國文 College Chinese,全,2,212,Y207,蕭涵珍,通識中心,40,39,1,中文,限資管、法律、水保、化學、資工、森林AB、獸醫AB、景觀學程選修
1732,大學國文 College Chinese,全,2,412,Y207,羅秀美,通識中心,40,30,10,中文,限外文、應經、生機、化工、會計、電機AB選修
1733,大學國文 College Chinese,全,2,412,Y211,高榮鴻,通識中心,40,30,10,中文,限外文、應經、生機、化工、會計、電機AB選修
1734,大學國文 College Chinese,全,2,412,Y303,張俐盈,通識中心,40,39,1,中文,限外文、應經、生機、化工、會計、電機AB選修
1735,大學國文 College Chinese,全,2,412,Y208,周玟觀,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1736,大學國文 College Chinese,全,2,412,Y302,蕭涵珍,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1737,大學國文 College Chinese,全,2,412,Y202,祁立峰,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1738,大學國文 College Chinese,全,2,412,Y203,陳建源,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1739,大學國文 College Chinese,全,2,412,Y204,蔡妙真,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1740,大學國文 College Chinese,全,2,412,Y206,蕭振聲,通識中心,40,40,0,中文,限外文、應經、生機、化工、會計、電機AB選修
1742,大學國文 College Chinese,全,2,456,Y308,黃慧鳳,通識中心,40,40,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1743,大學國文 College Chinese,全,2,456,Y202,羅秀美,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1744,大學國文 College Chinese,全,2,456,Y206,丘彥遂,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1745,大學國文 College Chinese,全,2,456,Y309,張俐盈,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1746,大學國文 College Chinese,全,2,456,Y301,趙家琦,通識中心,40,40,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1747,大學國文 College Chinese,全,2,456,Y204,祁立峰,通識中心,40,41,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1748,大學國文 College Chinese,全,2,456,Y304,陳麗如,通識中心,40,38,2,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1749,大學國文 College Chinese,全,2,456,Y207,陳建源,通識中心,40,40,0,中文,限財金、行銷、農藝、昆蟲、物理AB、應數AB選修
1751,大學國文 College Chinese,全,2,589,Y204,余佳韻,通識中心,40,24,16,中文,限僑外生選修
1752,大學國文 College Chinese,全,2,589,Y312,黃慧鳳,通識中心,40,22,18,中文,限僑外生選修
1753,大學國文 College Chinese,全,2,589,Y207,陳昌遠,通識中心,40,34,6,中文,限僑外生選修
1538,國文 d Chinese,全,3,4ABC,Y302,蔡金昌,夜中文,60,28,32,中文,
1537,國文 e Chinese,全,3,4ABC,Y308,王毓榮,夜中文,60,37,23,中文,
1536,國文 a Chinese,全,3,2ABC,Y207,周安邦,夜中文,60,34,26,中文,
1539,國文 b Chinese,全,3,5ABC,Y301,高榮鴻,夜中文,60,49,11,中文,
1540,國文 c Chinese,全,3,39AB,Y208,陳麗如,夜中文,60,48,12,中文,
