領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
社會,公民與社會,0401,服務學習：中小學課業輔導 Service Learning: Primary and Junior High School Tutoring,2,278,,Y312,楊琇玲,通識中心,31,31,0,中文,本學期第5~17週需使用課堂時間至信義國小服務
社會,公民與社會,0402,政治社會哲學 Political-Social Philosophy,2,156,,Y212,顧毓民,通識中心,70,30,40,中文,
社會,公民與社會,0403,政治社會哲學 Political-Social Philosophy,2,556,,Y212,顧毓民,通識中心,70,28,42,中文,
社會,公民與社會,0404,社會學 Sociology,3,2234,,Y301,陳迪暉,通識中心,70,69,1,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0405,食物與政治 Food and Politics,2,256,,SC111,譚偉恩,通識中心,130,143,0,中文,
社會,公民與社會,0406,公共管理與公民社會 Public Management and Civil Society,3,4678,,Y401,潘競恒,通識中心,70,16,54,中文,
社會,公民與社會,0407,全球化與當代社會 Globalization and Contemporary Society,2,534,,Y301,陳迪暉,通識中心,70,71,0,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0408,專業服務學習：寵物義診 Professional Service Learning: Veterinary Volunteer Clinic for Companion Animals,2,59A,,QB101,林荀龍,通識中心,31,27,4,中文,限獸醫系三年級以上修習，且於週五下午1點~5點至動物收容中心服務，建議下午未排課的獸醫系同學選修
社會,公民與社會,0409,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,134,,Y211,張淑君,通識中心,35,35,0,中文,
社會,公民與社會,0410,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,156,,Y211,張淑君,通識中心,35,27,8,中文,
社會,公民與社會,0411,資訊科技與社會 Information Technology and Society,2,334,,Y409,洪朝貴,通識中心,60,62,0,中文,
社會,法律與政治,0414,消費者權益保護與法律 Consumer Rights Protection and Law,2,467,,SC111,戴志傑,通識中心,150,69,81,中文,
社會,法律與政治,0415,法律與生活 Law and Everyday Life,2,312,,SC111,林炫秋,通識中心,150,134,16,中文,
社會,法律與政治,0416,國際關係 International Relations,2,367,,SC204,袁鶴齡,通識中心,50,45,5,中文,
社會,法律與政治,0417,國際關係 International Relations,2,234,,SC202,崔進揆,通識中心,50,60,0,中文,
社會,法律與政治,0418,國際關係 International Relations,2,434,,SC112,廖舜右,通識中心,130,147,0,中文,
社會,法律與政治,0419,國際關係 International Relations,2,378,,SC111,譚偉恩,通識中心,130,136,0,中文,
社會,法律與政治,0420,民主與憲政 Democracy and Constitutionalism,2,256,,Y403,翟挹,通識中心,70,74,0,中文,
社會,法律與政治,0421,民主與憲政 Democracy and Constitutionalism,2,312,,Y403,翟挹,通識中心,70,71,0,中文,
社會,法律與政治,0422,民主與憲政 Democracy and Constitutionalism,2,512,,Y403,翟挹,通識中心,70,76,0,中文,
社會,法律與政治,0424,全球公民投票制度 Referendum,2,512,,Y104,李昌麟,通識中心,100,49,51,中文,
社會,法律與政治,0425,全球公民投票制度 Referendum,2,534,,Y104,李昌麟,通識中心,100,22,78,中文,
社會,法律與政治,0426,全球公民投票制度 Referendum,2,556,,Y104,李昌麟,通識中心,100,33,67,中文,
社會,法律與政治,0427,科技與法律 Science and Technology Laws,2,434,,SC111,廖緯民,通識中心,120,111,9,中文,
社會,法律與政治,0428,國際商務法律導論 Introduction to International Business Law,2,234,,Y102,蘇怡慈,通識中心,40,28,12,英文,英語授課
社會,法律與政治,0429,國防教育：防衛動員 National Defense Education: Defense Mobilization,2,378,,Y411,陳秀年,通識中心,70,82,0,中文,
社會,法律與政治,0430,國防教育：防衛動員 National Defense Education: Defense Mobilization,2,278,,Y411,廖志強,通識中心,70,81,0,中文,
