選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,01-09週,U702,林建良,通識中心,25,23,中文,上課時間：01-09週(昆蟲系-前25位)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,U702,林建良,通識中心,30,30,中文,上課時間：01-09週(企管系-前30位)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,389,01-09週,U701,林建良,通識中心,40,33,中文,上課時間：01-09週(生技學程)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,01-09週,S821,林建良,通識中心,25,28,中文,上課時間：01-09週(環工系-前25位)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,01-09週,LI412,林建良,通識中心,55,44,中文,上課時間：01-09週(中文系)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,謝育龍,通識中心,30,26,中文,上課時間：01-09週(外文系-前30位)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,CC214,謝育龍,通識中心,50,29,中文,上課時間：01-09週(外文系)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC549,陳宏賓,通識中心,50,49,中文,上課時間：01-09週(材料系)，第6週換電腦教室SC549
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,10-18週,U702,林建良,通識中心,40,21,中文,上課時間：10-18週(昆蟲系)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,U702,林建良,通識中心,40,28,中文,上課時間：10-18週(企管系)
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,10-18週,S821,林建良,通識中心,40,28,中文,上課時間：10-18週(環工系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,10-18週,LI412,林建良,通識中心,60,58,中文,上課時間：10-18週(食生系)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,S821,謝育龍,通識中心,60,35,中文,上課時間：10-18週(法律系)
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,CC214,謝育龍,通識中心,60,46,中文,上課時間：10-18週(化學系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC549,陳宏賓,通識中心,50,48,中文,上課時間：10-18週(生科系)，預計第15週換電腦教室SC549
