選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0900,大一英文 C Freshman English,全,2,256,AA202,劉芳礽,語言中心,0,42,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修。
0901,大一英文 A Freshman English,全,2,378,AA304,鄭朱雀,語言中心,0,27,英文/EMI,限歷史.農藝.森林AB.環工.國農企學程.台文學士學程選修
0902,大一英文 B Freshman English,全,2,378,AA202,陳國豪,語言中心,0,54,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士學程選修
0903,大一英文 C Freshman English,全,2,378,AA203,刁瑋婕,語言中心,0,45,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士學程選修。
0904,大一英文 C Freshman English,全,2,378,AA402,林雅文,語言中心,0,49,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士學程選修
0905,大一英文 C Freshman English,全,2,378,AA303,廖秀芬,語言中心,0,46,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士學程選修
0906,大一英文 A Freshman English,全,2,278,AA301,強勇傑,語言中心,0,35,英文,限植病.行銷.化學.應數AB.物理選修。
0907,大一英文 A Freshman English,全,2,278,AA302,莊惠婷,語言中心,0,39,英文,限植病.行銷.化學.應數AB.物理選修
0908,大一英文 B Freshman English,全,2,278,AA402,李順興,語言中心,0,35,英文,限植病.行銷.化學.應數AB.物理選修
0909,大一英文 B Freshman English,全,2,278,AA203,陳淑卿,語言中心,0,35,英文,限植病.行銷.化學.應數AB.物理選修
0910,大一英文 C Freshman English,全,2,156,AA401,施以明,語言中心,0,45,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0911,大一英文 C Freshman English,全,2,278,AA303,陳俐亨,語言中心,0,57,英文,限植病.行銷.化學.應數AB.物理選修
0912,大一英文 C Freshman English,全,2,278,AA202,劉芳礽,語言中心,0,57,英文,限植病.行銷.化學.應數AB.物理選修
0913,大一英文 A Freshman English,全,2,456,AA303,朱崇儀,語言中心,0,37,英文,限企管.應經.生科.材料.生機.會計選修
0914,大一英文 A Freshman English,全,2,456,AA202,陳昭良,語言中心,0,35,英文,限企管.應經.生科.材料.生機.會計選修
0915,大一英文 B Freshman English,全,2,456,AA203,張玉芳,語言中心,0,49,英文,限企管.應經.生科.材料.生機.會計選修
0916,大一英文 B Freshman English,全,2,456,AA302,周幸君,語言中心,0,46,英文,限企管.應經.生科.材料.生機.會計選修
0917,大一英文 C Freshman English,全,2,456,AA201,潘衍至,語言中心,0,55,英文,限企管.應經.生科.材料.生機.會計選修
0918,大一英文 A Freshman English,全,2,456,AA401,林耕安,語言中心,0,39,英文,限企管.應經.生科.材料.生機.會計選修
0919,大一英文 C Freshman English,全,2,456,AA402,劉芳礽,語言中心,0,49,英文,限企管.應經.生科.材料.生機.會計選修
0920,大一英文 A Freshman English,全,2,156,AA203,何泰鈞,語言中心,0,22,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0921,大一英文 B Freshman English,全,2,156,AA402,李順興,語言中心,0,31,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0922,大一英文 A Freshman English,全,2,156,AA202,潘千惠,語言中心,0,19,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0923,大一英文 C Freshman English,全,2,156,AA303,楊謦瑜,語言中心,0,41,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0924,大一英文 C Freshman English,全,2,156,AA301,潘衍至,語言中心,0,45,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0925,大一英文 B Freshman English,全,2,156,AA302,劉芳礽,語言中心,0,37,英文,限機械AB.土木AB.電機B.生技學程.電資學士班.智慧創意學程選修
0926,大一英文 A Freshman English,全,2,356,AA405,廖秀芬,語言中心,0,35,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0927,大一英文 A Freshman English,全,2,356,AA303,朱崇儀,語言中心,0,31,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0928,大一英文 B Freshman English,全,2,356,AA203,詹鄢如,語言中心,0,46,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0929,大一英文 B Freshman English,全,2,356,AA202,謝怡帆,語言中心,0,41,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0930,大一英文 C Freshman English,全,2,356,AA401,施以明,語言中心,0,56,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0931,大一英文 C Freshman English,全,2,356,AA402,楊謦瑜,語言中心,0,56,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0932,大一英文 A Freshman English,全,2,356,AA301,陳威穎,語言中心,0,27,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0933,大一英文 A Freshman English,全,2,256,AA303,朱崇儀,語言中心,0,28,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0934,大一英文 A Freshman English,全,2,256,AA203,劉鳳芯,語言中心,0,25,英文/EMI,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0935,大一英文 B Freshman English,全,2,256,AA301,李順興,語言中心,0,42,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0936,大一英文 B Freshman English,全,2,256,AA302,陳春美,語言中心,0,39,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0937,大一英文 C Freshman English,全,2,256,AA402,謝心怡,語言中心,0,38,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0938,大一英文 A Freshman English,全,2,256,AA401,陳俐亨,語言中心,0,26,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0939,大一英文 D Freshman English,全,2,1AB,AA302,劉芳礽,語言中心,0,42,英文,D班不分系別
0940,大一英文 D Freshman English,全,2,2AB,AA202,劉芳礽,語言中心,0,35,英文,D班不分系別
1532,大一英文 Freshman English,全,2,3AB,AA201,廖秀芬,夜不限系別,60,29,英文,限文創學程進修學士班選修
1533,大一英文 Freshman English,全,2,3AB,AA302,陳國豪,夜不限系別,50,32,英文,限創經學程進修學士班選修
1530,大一英文 Freshman English,全,2,5AB,AA201,陳國豪,夜不限系別,50,41,英文,限中國文學系進修學士班選修
1531,大一英文 Freshman English,全,2,5AB,AA203,廖秀芬,夜不限系別,50,45,英文,限生管學程進修學士班選修
