領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
核心素養,資訊素養,0631,行動載具程式設計 Mobile Device Programming,2,412,,S821,林建良,通識中心,50,36,14,中文,
核心素養,資訊素養,0632,行動載具程式設計 Mobile Device Programming,2,434,,S821,林建良,通識中心,50,25,25,中文,
核心素養,學校特色,0635,校園自然環境導覽 Guided Tour on Campus Environment,2,134,,V202,廖天賜,通識中心,20,18,2,中文,
核心素養,學校特色,0636,校園自然環境導覽 Guided Tour on Campus Environment,2,278,,Y206,劉思謙,通識中心,20,20,0,中文,
核心素養,學校特色,0637,康堤釣魚趣 Introduction to Kang-ti and Fishing,1,456,01-09週,Y101,吳政憲等,通識中心,31,37,0,中文,上課時間：1~9週，第1週請至Y411教室上課
核心素養,專業知識,0640,消費者權益保護與法律 Consumer Rights Protection and Law,2,534,,*,戴志傑,通識中心,120,93,27,中文,同步遠距教學
核心素養,專業知識,0641,法律與生活 Law and Everyday Life,2,312,,SC111,林炫秋,通識中心,150,113,37,中文,
核心素養,專業知識,0642,餐桌上的營養學 Healthy Dining,1,478,01-09週,FB110,黃菁英,通識中心,80,81,0,中文,上課時間：第1~9週
核心素養,專業知識,0643,機能性食品與健康 Functional Foods and Wellbeing,2,234,,Y409,古山吉(Kumar),通識中心,50,32,18,英文/EMI,英語授課
核心素養,專業知識,0644,"日常生活的「毒」家知識 ""Unique"" Knowledge of Poisoning in the Daily Environment",2,234,,Y204,胡松原,通識中心,31,16,15,中文,(胡松原老師)第一週停課、另行補課
核心素養,應用整合,0646,以科學方法解決生活問題 Using Scientific Methods to Solve Daily Life Problems,2,434,,Y109,林彥佑,通識中心,48,37,11,中文,
核心素養,應用整合,0647,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,156,,*,張淑君,通識中心,40,0,40,中文,"(未成班,停開)"
核心素養,應用整合,0648,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,256,,*,張淑君,通識中心,40,0,40,中文,"(未成班,停開)"
核心素養,審美求真,0651,實用邏輯學 Applied Logics,2,534,,Y212,顧毓民,通識中心,60,19,41,中文,
核心素養,審美求真,0652,實用邏輯學 Applied Logics,2,556,,Y212,顧毓民,通識中心,60,12,48,中文,
核心素養,審美求真,0653,美學 Aesthetics,2,234,,Y212,張盈馨,通識中心,60,70,0,中文,
核心素養,審美求真,0654,創意色彩學 Creative Color Theory,2,134,,Y605,蕭怡姍,通識中心,40,45,0,中文,
核心素養,審美求真,0655,臺灣美術導賞 Art of Taiwan,1,18,,Y212,王婉如,通識中心,40,15,25,中文,
核心素養,審美求真,0656,攝影美學 Aesthetics of Photography,2,156,,Y305,楊基發,通識中心,50,45,5,中文,
核心素養,反思創新,0659,資訊科技與社會 Information Technology and Society,2,334,,Y204,洪朝貴,通識中心,60,59,1,中文,
核心素養,反思創新,0660,資訊科技與社會 Information Technology and Society,2,512,,Y303,陳迪暉,通識中心,72,68,4,中文,不開放特殊加簽
核心素養,反思創新,0661,倫理學與當代議題 Ethics and Contemporary Issues,2,212,,Y304,翟挹,通識中心,70,44,26,中文,
核心素養,反思創新,0662,倫理學與當代議題 Ethics and Contemporary Issues,2,356,,Y212,顧毓民,通識中心,60,26,34,中文,
核心素養,反思創新,0663,倫理學與當代議題 Ethics and Contemporary Issues,2,212,,Y401,謝福源等,通識中心,50,17,33,中文,
核心素養,反思創新,0664,新興科技與倫理 Ethics and Emerging Technology,2,156,,Y104,吳政憲,通識中心,121,121,0,中文,
核心素養,自我表達,0667,人際關係與溝通 Interpersonal Relationship and Communication,2,556,,Y112,劉秀丹,通識中心,60,71,0,中文,
核心素養,自我表達,0668,人際關係與溝通 Interpersonal Relationship and Communication,2,578,,Y112,劉秀丹,通識中心,60,67,0,中文,
核心素養,自我表達,0669,人際關係與溝通 Interpersonal Relationship and Communication,2,312,,Y109,蔡素琴,通識中心,48,24,24,中文,
核心素養,自我表達,0672,表達能力與技巧 Communication Skills,2,289,,Y307,林建良,通識中心,60,50,10,中文,
核心素養,自我表達,0673,英文演說與溝通 English Speech and Communication,2,434,,Y301,陳昭良,通識中心,50,41,9,英文/EMI,英語授課
核心素養,在地關懷,0676,社會關懷 Social Care,2,334,,Y208,賴淑蘭,通識中心,40,34,6,中文,建議學士班學生修習
核心素養,在地關懷,0677,社會關懷 Social Care,2,356,,Y208,賴淑蘭,通識中心,40,36,4,中文,建議學士班學生修習
核心素養,在地關懷,0678,中小學課後輔導與學習陪伴 Primary and Junior High School Tutoring,2,278,,Y207,楊琇玲,通識中心,20,21,0,中文,1.本學期第5~17週需使用課堂時間至信義國小服務。2.選修學生需打完兩劑新冠疫苗。
核心素養,在地關懷,0679,"中臺灣古道、部落與人文旅遊 Ancient Trails, Tribes and Cultural Tours",2,256,,Y112,吳政憲,通識中心,121,120,1,中文,
核心素養,在地關懷,0680,臺灣東南亞移工移民人權議題 Human Right Issues for Southeast Asian Labors and Immigrants in Taiwan,2,534,,Y303,陳迪暉,通識中心,72,34,38,中文,不開放特殊加簽
核心素養,在地關懷,0681,動物福祉 Animal Welfare,2,556,,QA001,林荀龍,通識中心,31,34,0,英文/EMI,"(英文授課)Be animal shelter, hospital in Fri. 13:00~17:00 not for Vet. student."
核心素養,全球思維,0684,國際關係 International Relations,2,134,,Y104,沈玄池,通識中心,105,106,0,中文,開放4位同學特殊加簽
核心素養,全球思維,0685,國際關係 International Relations,2,356,,*,劉泰廷,通識中心,60,0,60,英文,"(未成班,停開)英語授課"
