領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
統合,專業實作,0201,美術工作坊 Art Workshop,2,234,,Y605,蕭怡姍,通識中心,40,47,0,中文,
統合,專業實作,0202,美術工作坊 Art Workshop,2,256,,Y605,蕭怡姍,通識中心,40,47,0,中文,
統合,專業實作,0203,美術工作坊 Art Workshop,2,334,,Y605,洪鈞元,通識中心,40,42,0,中文,
統合,專業實作,0204,美術工作坊 Art Workshop,2,278,,Y605,鄧文貞,通識中心,40,40,0,中文,
統合,專業實作,0205,園藝與生活 Horticulture and Living,2,189,,H300,林慧玲等,通識中心,65,59,6,中文,
統合,專業實作,0206,國際禮儀與專業形象 International Etiquette and Professional Image,2,256,,Y101,彭瑞芝,通識中心,40,38,2,中文,不開放特殊加簽；3/5 為特別實作課程，全日上課時間為9點至18點，請學生預留本週六時間
統合,專業實作,0207,國際禮儀與專業形象 International Etiquette and Professional Image,2,278,,Y101,彭瑞芝,通識中心,40,34,6,英文/EMI,"Additional enrollment is not accepted.4/16 is scheduled to be a hands on class, please make this Saturday available."
統合,專業實作,0208,股市投資模擬實作 Stock Investment Simulation and Practice,3,1678,,SC112,張樹之,通識中心,150,147,3,中文,考試以英文命題
統合,專業實作,0209,大自然啟發的仿生設計 Bioinspiration and Biomimicry,3,1567,,Y202,程華強,通識中心,60,28,32,英文/EMI,英語授課
統合,專業實作,0210,香料植物之應用與保健機能 Application and Health Function of Spices and Herbs,3,1678,,Y409,古山吉(Kumar),通識中心,50,15,35,英文/EMI,英語授課
統合,專業實作,0211,太極拳基礎 Basic Tai Chi,2,478,,Y411,林彥佑,通識中心,24,24,0,中文,1.上課請穿球鞋及寬鬆衣服; 2.部分課程須兩人一組對練
統合,專業實作,0212,生活與醫療科技 Life and Medical Technology,2,334,,ATB13,程德勝等,通識中心,70,68,2,中文,
統合,專業實作,0213,生活與醫療科技 Life and Medical Technology,2,278,,Y402,李岳聰等,通識中心,50,50,0,中文,
統合,專業實作,0214,生活與醫療科技 Life and Medical Technology,2,256,,Y402,林志明等,通識中心,40,39,1,中文,
統合,專業實作,0215,生活與醫療科技 Life and Medical Technology,2,478,,Y402,林晏任等,通識中心,50,55,0,中文,
統合,專業實作,0216,摺紙數學之藝術 Art of Mathematical Origami,2,378,,Y605,李林滄,通識中心,40,40,0,中文,
統合,專業實作,0217,進階攝影 Advanced Photography,2,178,,Y305,楊基發,通識中心,50,48,2,中文,
統合,專業實作,0218,人文藝術博物館巡禮 A Tour of the Museum of Humanities and Art,2,278,,Y309,何智勇,通識中心,70,70,0,中文,不開放特殊加簽
統合,專業實作,0219,會計實務成長記 The Growing Steps of Accounting Practice,2,256,,Y206,陳雪如,通識中心,50,62,0,中文,
統合,專業實作,0220,生態旅遊 Ecotourism,2,334,,AN514,謝淳仁,通識中心,35,31,4,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0221,生態旅遊 Ecotourism,2,356,,AN514,謝淳仁,通識中心,35,30,5,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0222,紙質文物框裱技術與實作 Implementation of Paper Artifacts' Framing and Mounting,2,434,,Y605,沈熙巖,通識中心,31,32,0,中文,
統合,專業實作,0223,Podcast數位實戰攻略 Tips for Recording Digital Podcasts,2,156,,Y403,解昆樺,通識中心,40,28,12,中文,新開設遠距課程，非同步遠距教學+實體面授
統合,專業實作,0224,體驗生活中的醫學 Experience Course of Medicine and Life,2,178,,Y312,黃偉彰,通識中心,25,21,4,中文,因本課程安排兩次戶外教學參訪，修課同學需於星期一下午第五堂課之後無修課衝突。
統合,跨域學習,0290,通識專題製作 Individual Project on General Education,2,*,,*,李超雄,通識中心,0,1,0,中文,
統合,跨域學習,0295,跨域自主學習（一） Cross-field Self-Directed Learning (I),1,*,,*,全體教師,通識中心,0,14,0,中文,自主學習點數18點
統合,跨域學習,0296,跨域自主學習（二） Cross-field Self-Directed Learning (II),1,*,,*,全體教師,通識中心,0,4,0,中文,自主學習點數18點
統合,微型課程,0297,通識學習拼圖（一） Learning Puzzle of General Education (I),1,*,,*,全體教師等,通識中心,0,258,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0298,通識學習拼圖（二） Learning Puzzle of General Education (II),1,*,,*,全體教師,通識中心,0,115,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0299,通識學習拼圖（三） Learning Puzzle of General Education (III),1,*,,*,全體教師,通識中心,0,26,0,中文,通識微型課程授課時數累計18小時
統合,專業實作,0102,美術工作坊 Art Workshop,2,2AB,,Y605,鄧文貞,夜不限系別,40,38,2,中文,
