領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
統合,專業實作,0201,美術工作坊 Art Workshop,2,234,,Y605,蕭怡姍,通識中心,40,43,0,中文,
統合,專業實作,0202,美術工作坊 Art Workshop,2,256,,Y605,蕭怡姍,通識中心,40,46,0,中文,
統合,專業實作,0203,美術工作坊 Art Workshop,2,434,,Y605,鄧文貞,通識中心,40,36,4,中文,
統合,專業實作,0204,園藝與生活 Horticulture and Living,2,189,,H300,林慧玲等,通識中心,65,69,0,中文,
統合,專業實作,0205,國際禮儀與專業形象 International Etiquette and Professional Image,2,456,,Y605,彭瑞芝,通識中心,40,38,2,中文,不開放特殊加簽
統合,專業實作,0206,國際禮儀與專業形象 International Etiquette and Professional Image,2,478,,Y605,彭瑞芝,通識中心,40,35,5,英文/EMI,English Conducting; Additional enrollment is not accepted.
統合,專業實作,0207,香料植物之應用與保健機能 Application and Health Function of Spices and Herbs,3,1678,,Y403,古山吉(Kumar),通識中心,35,34,1,英文/EMI,英語授課English Conducting; Week1 Online.
統合,專業實作,0208,太極拳基礎 Basic Tai Chi,2,478,,Y411,林彥佑,通識中心,24,24,0,中文,1.上課請穿球鞋及寬鬆衣服; 2.部分課程須兩人一組對練
統合,專業實作,0209,生活與醫療科技 Life and Medical Technology,2,278,,Y406,李岳聰等,通識中心,20,20,0,中文,不開放特殊加簽
統合,專業實作,0210,生活與醫療科技 Life and Medical Technology,2,256,,Y405,林志明等,通識中心,20,21,0,中文,不開放特殊加簽
統合,專業實作,0211,生活與醫療科技 Life and Medical Technology,2,478,,Y405,林晏任等,通識中心,20,20,0,中文,不開放特殊加簽
統合,專業實作,0212,人文藝術博物館巡禮 A Tour of the Museum of Humanities and Art,2,278,,Y305,何智勇,通識中心,70,72,0,中文,不開放特殊加簽
統合,專業實作,0214,體驗生活中的醫學 Experience Course of Medicine and Life,2,178,,Y405,黃偉彰,通識中心,20,20,0,中文,1.本課程有安排戶外教學參訪，修課同學需於星期一13~18時無修課衝突; 2.不開放特殊加簽
統合,專業實作,0215,生態旅遊 Ecotourism,2,334,,AN514,謝淳仁,通識中心,35,35,0,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0216,生態旅遊 Ecotourism,2,356,,AN514,謝淳仁,通識中心,35,36,0,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0217,"韓國藝術、文化與生活 Art, Culture and Life of Korea",2,156,,Y605,蕭怡姍,通識中心,40,45,0,中文,
統合,專業實作,0218,"圖像、創作與藝術治療 Graphics, Creation and Art Therapy",2,134,,Y605,蕭怡姍,通識中心,40,48,0,中文,
統合,跨域學習,0295,跨域自主學習（一） Cross-field Self-Directed Learning (I),1,*,,*,全體教師,通識中心,0,8,0,中文,自主學習點數18點
統合,跨域學習,0296,跨域自主學習（二） Cross-field Self-Directed Learning (II),1,*,,*,全體教師,通識中心,0,4,0,中文,自主學習點數18點
統合,微型課程,0297,通識學習拼圖（一） Learning Puzzle of General Education (I),1,*,,*,全體教師等,通識中心,0,304,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0298,通識學習拼圖（二） Learning Puzzle of General Education (II),1,*,,*,全體教師,通識中心,0,119,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0299,通識學習拼圖（三） Learning Puzzle of General Education (III),1,*,,*,全體教師,通識中心,0,40,0,中文,通識微型課程授課時數累計18小時
統合,專業實作,0104,美術工作坊 Art Workshop,2,2AB,,Y605,鄧文貞,夜不限系別,40,35,5,中文,
