領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
自然,工程科技,0501,化工科技 Chemical Engineering Technology,2,156,,CE307,李思禹,通識中心,60,56,4,中文,
自然,工程科技,0503,生活中的工程 Engineering in Everyday Life,2,156,,L216,王東安,通識中心,50,34,16,英文/EMI,英語授課
自然,工程科技,0504,奈米科技 Introduction of Nanotech,2,134,,ATB29,韓政良,通識中心,70,66,4,中文,不開放特殊加簽
自然,工程科技,0506,生醫工程概論 Introduction to Biomedical Engineering,3,2234,,ATB13,程德勝等,通識中心,70,61,9,中文,
自然,工程科技,0507,生醫工程概論 Introduction to Biomedical Engineering,3,1567,,ATB29,廖國智等,通識中心,60,40,20,中文,
自然,生命科學,0511,健康與人生 Health and Life,2,178,,Y313,黃秀琳,通識中心,35,34,1,中文,不開放特殊加簽
自然,生命科學,0512,健康與人生 Health and Life,2,289,,Y405,邱南英等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0513,健康與人生 Health and Life,2,478,,Y417,陳清埤等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0514,昆蟲世界 Insect World,2,134,,EC7D09,段淑人,通識中心,40,38,2,中文,
自然,生命科學,0515,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,256,,Y406,連漢仲等,通識中心,20,17,3,中文,不開放特殊加簽
自然,生命科學,0516,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,589,,Y405,陳建華,通識中心,20,20,0,中文,同步遠距教學，不開放特殊加簽
自然,生命科學,0517,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,289,,Y407,傅令嫻等,通識中心,20,23,0,中文,同步遠距教學，不開放特殊加簽
自然,生命科學,0518,微生物世界 Microbial World,2,456,,R10B05,鍾文鑫等,通識中心,100,107,0,中文,
自然,生命科學,0519,動物生物科技與生活 Animal Biotechnology and Life,2,234,,Y104,辛坤鎰等,通識中心,120,112,8,中文,
自然,生命科學,0520,植物生態與多樣性 Plant Ecology and Biodiversity,2,356,,IA514,趙國容,通識中心,50,24,26,英文/EMI,英語授課
自然,生命科學,0521,樹木身體語言與照護 Tree Body Language and Care,2,323,,H101,劉東啟等,通識中心,41,39,2,中文,
自然,生命科學,0522,生物電影 Bio-Movie,2,434,,Y405,王秉彥等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0523,良醫講堂：臨床醫療與衛教 Good Doctors: Clinical Medicine and Health Education,2,278,,Y112,謝政哲等,通識中心,121,119,2,中文,
自然,生命科學,0524,良醫講堂：臨床醫療與衛教 Good Doctors: Clinical Medicine and Health Education,2,478,,Y112,謝政哲等,通識中心,121,117,4,中文,
自然,生命科學,0525,現代臺灣常見疾病介紹與治療 Introduction and Treatment of Common Medical Diseases in Taiwan,2,378,,Y403,古山吉(Kumar),通識中心,35,34,1,英文/EMI,英語授課English Conducting; Week1 Online.
自然,生命科學,0526,草藥入門 An Introduction to Herbal Therapy,2,578,,Y403,古山吉(Kumar),通識中心,35,30,5,英文/EMI,英語授課English Conducting; Week1 Online.
自然,生命科學,0527,現代臺灣常見疾病介紹與治療 Introduction and Treatment of Common Medical Diseases in Taiwan,2,256,,Y407,廖淑芬等,通識中心,20,15,5,中文,不開放特殊加簽
自然,生命科學,0528,現代臺灣常見疾病介紹與治療 Introduction and Treatment of Common Medical Diseases in Taiwan,2,278,,Y404,鄭清源等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0529,現代臺灣常見疾病介紹與治療 Introduction and Treatment of Common Medical Diseases in Taiwan,2,156,,Y405,薛冠群等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0530,蘭大衛講堂：醫療與保健 David Landsborough：Medical and Health Care,2,189,,Y404,張丞賢等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0531,蘭大衛講堂：醫療與保健 David Landsborough：Medical and Health Care,2,567,,Y211,蕭建洲等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0532,蘭大衛講堂：醫療與保健 David Landsborough：Medical and Health Care,2,589,,Y409,謝承樸等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0533,家庭醫學面面觀 Common Diseases and Health Education of Family Medicine,2,467,,Y407,吳明儒等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0534,家庭醫學面面觀 Common Diseases and Health Education of Family Medicine,2,234,,Y405,沈靜慧等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0535,當代醫學與健康管理 An Introduction of Modern Medicine,2,278,,Y415,邱瑩明等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0536,當代醫學與健康管理 An Introduction of Modern Medicine,2,156,,Y406,詹明澄等,通識中心,20,17,3,中文,不開放特殊加簽
自然,生命科學,0537,機智醫療生活 Smart Medicine in Life,2,489,,Y407,王舜平等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0538,機智醫療生活 Smart Medicine in Life,2,134,,Y211,高定憲等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0539,機智醫療生活 Smart Medicine in Life,2,112,,Y405,崔源生等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0540,醫學迷因：從時事中了解醫學 Medical Memes: Learn Basic Medical Knowledge from Popular Events,2,234,,Y406,吳再坤等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0541,生活中的植物學 Botany in Life,2,334,,Y307,黃盟元等,通識中心,50,49,1,中文,
自然,生命科學,0542,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,278,,Y403,古山吉(Kumar),通識中心,35,27,8,英文/EMI,英語授課English Conducting; Week1 Online.
自然,生命科學,0543,生命科學與生物資訊趣談 Interesting Introduction to Life Science and Bioinformatics,2,478,,Y404,陳昆輝等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0544,生命科學與人生 Life Science and Human Life,2,434,,Y104,何瓊紋等,通識中心,100,98,2,中文,
自然,生命科學,0545,生命科學與人生 Life Science and Human Life,2,456,,Y104,簡麗鳳等,通識中心,100,101,0,中文,不開放特殊加簽
自然,生命科學,0546,生命科學與人生 Life Science and Human Life,2,167,,Y404,曾信順等,通識中心,20,20,0,中文,不開放特殊加簽
自然,生命科學,0547,生命科學與人生 Life Science and Human Life,2,189,,Y407,葉良財等,通識中心,20,18,2,中文,不開放特殊加簽
自然,生命科學,0548,臺灣重要之病毒性傳染病 Important Viral Infectious Diseases in Taiwan,2,334,,Y403,古山吉(Kumar),通識中心,35,31,4,英文/EMI,英語授課English Conducting; Week1 Online.
自然,生命科學,0549,營養與保健 Nutrition and Health Care,2,556,,Y313,陳瀅太,通識中心,50,45,5,中文,
自然,生命科學,0550,營養與保健 Nutrition and Health Care,2,478,,Y415,李秀芬等,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0551,生命的動力與延續 The Vitality and Sustainability of Life,2,134,,SC112,楊秋英等,通識中心,150,146,4,中文,不開放特殊加簽
自然,生命科學,0552,生命的動力與延續 The Vitality and Sustainability of Life,2,534,,SC112,楊秋英等,通識中心,150,141,9,中文,不開放特殊加簽
自然,生命科學,0553,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,256,,Y402,王惠民,通識中心,60,52,8,中文,
自然,生命科學,0554,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,278,,Y417,謝明儒,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0555,臺灣重要之病毒性傳染病 Important Viral Infectious Diseases in Taiwan,2,434,,*,邱賢松,通識中心,100,111,0,中文,非同步遠距教學
自然,物質科學,0559,"化學、醫藥與社會 Chemistry, Medicine and Society",2,234,,Y203,賴千蕙,通識中心,60,62,0,中文,
自然,物質科學,0560,實用生活化學 Practical Aspects of Chemistry,2,534,,SC111,羅順原,通識中心,150,144,6,中文,
自然,數學統計,0564,統計與生活 Statistics and Life,2,234,,Y403,黃文瀚,通識中心,50,48,2,中文,
自然,環境科學,0568,生活、工作與安全 Safety of Life and Work,2,434,,Y203,王鴻勳,通識中心,50,14,36,中文,
自然,環境科學,0569,環境與健康 Environmental Health,2,112,,Y406,張祐剛等,通識中心,20,17,3,中文,不開放特殊加簽
自然,環境科學,0570,生態學 Ecology,2,156,,Y401,于迺文,通識中心,70,67,3,中文,
自然,環境科學,0571,生態學 Ecology,2,189,,Y401,于迺文,通識中心,70,62,8,中文,
自然,環境科學,0572,防災概論 Introduction to Disaster Mitigation,2,478,,Y203,王鴻勳,通識中心,50,41,9,中文,
自然,環境科學,0573,防災概論 Introduction to Disaster Mitigation,2,178,,Y203,王鴻勳,通識中心,50,29,21,中文,
自然,環境科學,0574,地學通論 Introduction to Physical Geography,3,1678,,Y305,彭宗仁,通識中心,31,29,2,中文,建議非森林系、土環系學生選修
自然,生命科學,0103,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,2AB,,Y112,闕斌如等,夜不限系別,120,80,40,中文,合授課
自然,生命科學,0107,八大藝術中的生物醫學 Biomedical Sciences in Arts,2,3AB,,Y112,闕斌如等,夜不限系別,120,57,63,中文,合授課
自然,工程科技,0154,中國古代科學 Chinese Ancient Science,2,4AB,,Y104,吳政憲,夜不限系別,121,120,1,中文,
