領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
核心素養,資訊素養,0631,行動載具程式設計 Mobile Device Programming,2,334,,CC214,林建良,通識中心,45,41,4,中文,
核心素養,資訊素養,0632,行動載具程式設計 Mobile Device Programming,2,456,,CC214,林建良,通識中心,45,43,2,中文,
核心素養,反思創新,0635,資訊科技與社會 Information Technology and Society,2,334,,Y308,洪朝貴,通識中心,60,60,0,中文,
核心素養,反思創新,0636,資訊科技與社會 Information Technology and Society,2,212,,Y309,陳迪暉,通識中心,72,64,8,中文,不開放特殊加簽
核心素養,反思創新,0637,倫理學與當代議題 Ethics and Contemporary Issues,2,312,,Y304,翟挹,通識中心,70,69,1,中文,
核心素養,反思創新,0638,倫理學與當代議題 Ethics and Contemporary Issues,2,356,,Y304,翟挹,通識中心,70,69,1,中文,
核心素養,反思創新,0639,倫理學與當代議題 Ethics and Contemporary Issues,2,556,,Y212,顧毓民,通識中心,60,41,19,中文,
核心素養,反思創新,0640,倫理學與當代議題 Ethics and Contemporary Issues,2,212,,Y404,謝福源等,通識中心,20,15,5,中文,不開放特殊加簽
核心素養,全球思維,0642,國際關係 International Relations,2,434,,SC112,廖舜右,通識中心,130,129,1,中文,
核心素養,全球思維,0643,國際關係 International Relations,2,356,,Y204,袁鶴齡,通識中心,50,49,1,中文,
核心素養,全球思維,0644,國際關係 International Relations,2,334,,SC204,崔進揆,通識中心,50,53,0,中文,
核心素養,全球思維,0645,國際關係 International Relations,2,134,,Y104,沈玄池,通識中心,109,102,7,中文,不開放特殊加簽，無法使用中文的同學請勿選此門課
核心素養,全球思維,0646,全球化與當代社會 Globalization and Contemporary Society,2,234,,Y309,陳迪暉,通識中心,72,67,5,中文,不開放特殊加簽
核心素養,全球思維,0647,世界糧食問題 World Food Problems,2,534,,IA531,高木知芙美,通識中心,50,40,10,英文/EMI,英語授課
核心素養,全球思維,0648,環境生態變遷與永續發展 Change and Sustainable Development in Environment and Ecology,2,134,,Y309,王鴻勳,通識中心,50,47,3,中文,
核心素養,全球思維,0649,環境生態變遷與永續發展 Change and Sustainable Development in Environment and Ecology,2,234,,Y410,劉泰廷,通識中心,50,50,0,中文,
核心素養,全球思維,0650,環境生態變遷與永續發展 Change and Sustainable Development in Environment and Ecology,2,356,,Y402,劉泰廷,通識中心,50,49,1,英文/EMI,英語授課
核心素養,在地關懷,0653,探索臺中城 Exploring Taichung City,2,156,,Y402,劉泰廷,通識中心,50,51,0,中文,
核心素養,在地關懷,0654,探索臺中城 Exploring Taichung City,2,334,,Y410,劉泰廷,通識中心,50,54,0,中文,
核心素養,在地關懷,0656,"中臺灣古道、部落與人文旅遊 Ancient Trails, Tribes and Cultural Tours",2,256,,Y104,吳政憲,通識中心,121,120,1,中文,
核心素養,在地關懷,0657,"中臺灣古道、部落與人文旅遊 Ancient Trails, Tribes and Cultural Tours",2,334,,Y104,吳政憲,通識中心,121,119,2,中文,
核心素養,在地關懷,0658,清流部落共學 Qingliu Tribes Sharing,2,334,,Y409,賴慶明,通識中心,40,17,23,中文,"1.不開放特殊加簽; 2.111/10/8、10/22、11/5須進行實地查訪,請選課學生預留週六時間。"
核心素養,在地關懷,0659,動物福祉 Animal Welfare,2,156,,I407,林怡君,通識中心,60,47,13,中文,不開放特殊加簽
核心素養,在地關懷,0660,動物福祉 Animal Welfare,2,556,,QB101,林荀龍,通識中心,31,28,3,中文,須於週五下午1點~5點至動物收容中心服務，建議下午未排課的非獸醫系同學選修
核心素養,自我表達,0663,人際關係與溝通 Interpersonal Relationship and Communication,2,156,,Y109,蔡素琴,通識中心,48,45,3,中文,
核心素養,自我表達,0664,人際關係與溝通 Interpersonal Relationship and Communication,2,29A,,Y304,鍾燕宜等,通識中心,60,31,29,中文,
核心素養,自我表達,0665,幸福溝通 Happiness Communication,2,578,,Y112,劉秀丹,通識中心,60,65,0,中文,同步遠距教學，須自備電腦。不開放特殊加簽。教室第一週分組及其他面授週次時使用。請注意課綱之每週上課方式說明
核心素養,專業知識,0668,法律與生活 Law and Everyday Life,2,312,,SC103,林炫秋,通識中心,100,95,5,中文,
核心素養,專業知識,0671,"日常生活的「毒」家知識 ""Unique"" Knowledge of Poisoning in the Daily Environment",2,234,,Y407,胡松原,通識中心,20,19,1,中文,不開放特殊加簽
核心素養,團隊合作,0674,策展大小事 Curation,2,434,,Y304,游逸飛,通識中心,50,47,3,中文,
核心素養,審美求真,0677,視覺藝術欣賞 Visual Art Appreciation,2,278,,Y301,洪鈞元,通識中心,50,46,4,中文,
核心素養,審美求真,0678,實用邏輯學 Applied Logics,2,356,,Y212,顧毓民,通識中心,60,43,17,中文,
核心素養,審美求真,0679,實用邏輯學 Applied Logics,2,534,,Y212,顧毓民,通識中心,60,38,22,中文,
核心素養,審美求真,0680,美學 Aesthetics,2,234,,Y212,張盈馨,通識中心,60,69,0,中文,
核心素養,審美求真,0681,臺灣美術導賞 Art of Taiwan,1,18,,Y308,王婉如,通識中心,40,34,6,中文,
核心素養,審美求真,0682,創意色彩學 Creative Color Theory,2,356,,Y605,蔡佩儒,通識中心,40,38,2,中文,
核心素養,審美求真,0683,攝影美學 Aesthetics of Photography,2,378,,Y304,王銘滄,通識中心,50,54,0,中文,
核心素養,學校特色,0684,校園自然環境導覽 Guided Tour on Campus Environment,2,378,,Y211,劉思謙,通識中心,20,20,0,中文,
核心素養,學校特色,0685,校園自然環境導覽 Guided Tour on Campus Environment,2,278,,Y211,劉思謙,通識中心,20,20,0,中文,
核心素養,學校特色,0686,校園自然環境導覽 Guided Tour on Campus Environment,2,134,,V202,廖天賜,通識中心,20,18,2,中文,
核心素養,學校特色,0687,校園自然環境導覽 Guided Tour on Campus Environment,2,178,,V202,廖天賜,通識中心,20,18,2,中文,
核心素養,學校特色,0688,康堤釣魚趣 Introduction to Kang-ti and Fishing,1,456,01-09週,Y102,吳政憲,通識中心,31,33,0,中文,上課時間：1~9週
核心素養,應用整合,0691,以科學方法解決生活問題 Using Scientific Methods to Solve Daily Life Problems,2,434,,Y109,林彥佑,通識中心,48,41,7,中文,
核心素養,應用整合,0692,高科技職涯發展 High-Tech Career and Life,2,312,,Y207,林寬鋸,通識中心,50,32,18,中文,"限非理工學院學生選修,大三及大四學生優先"
核心素養,應用整合,0693,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,256,,Y304,張淑君,通識中心,40,30,10,中文,
核心素養,學校特色,0698,惠蓀林場生態與環境 Ecology and Environment in Hui-Sun Experimental Forest,1,*,,*,李超雄,通識中心,42,39,3,中文,第三梯次：111/8/16-8/19(4天3夜)
核心素養,學校特色,0699,惠蓀林場生態與環境 Ecology and Environment in Hui-Sun Experimental Forest,1,*,,*,李超雄,通識中心,42,27,15,中文,第四梯次：111/8/23-8/26(4天3夜)
核心素養,在地關懷,0109,"中臺灣古道、部落與人文旅遊 Ancient Trails, Tribes and Cultural Tours",2,4CD,,Y104,吳政憲,夜不限系別,121,116,5,中文,
核心素養,審美求真,0110,視覺藝術欣賞 Visual Art Appreciation,2,1AB,,Y308,王婉如,夜不限系別,50,45,5,中文,
