領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文化,0301,日本文化 Japanese Culture,2,289,,Y402,徐睿鎂,通識中心,65,59,6,中文,不開放特殊加簽
人文,文化,0302,日本文化 Japanese Culture,2,434,,Y308,楊謦綺,通識中心,60,48,12,中文,
人文,文化,0303,影像臺灣 The Image of Taiwan,2,134,,Y309,蔡林縉,通識中心,31,29,2,中文,
人文,文化,0304,環境視覺與思潮運動 Environmental Perceptions and Thoughtful Movement,2,456,,Y212,程進發,通識中心,50,48,2,中文,含彈性教學
人文,文化,0305,環境視覺與思潮運動 Environmental Perceptions and Thoughtful Movement,2,478,,Y212,程進發,通識中心,50,18,32,中文,含彈性教學
人文,文化,0306,環境視覺與思潮運動 Environmental Perceptions and Thoughtful Movement,2,434,,*,程進發,通識中心,48,0,48,中文,"(未成班,停開) 【南投校區-文教大樓(於「省訓團」下車)】"
人文,文化,0307,文化人類學導論 Introduction to Cultural Anthropology,2,334,,Y307,廖志輝,通識中心,50,15,35,中文,
人文,文化,0308,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,334,,AD501,張盈馨,通識中心,48,15,33,中文,含彈性教學;【南投校區-文教大樓(於「省訓團」下車)】
人文,文化,0309,江戶文化 Edo Culture,2,334,,Y305,蕭涵珍,通識中心,40,42,0,中文,含彈性教學
人文,文化,0310,印度不思議 The Incredible India,2,189,,Y308,游博清,通識中心,50,43,7,中文,含彈性教學
人文,文化,0311,多元文化在臺灣 Multicultural in Taiwan,2,256,,Y203,陳建源,通識中心,40,32,8,中文,含彈性教學
人文,文化,0312,"語言、文化與溝通 Language, Culture and Communication",2,312,,U702,張文俐,通識中心,45,39,6,英文/EMI,English Conducting
人文,文化,0313,臺灣環境與永續生活 Taiwan's Environment and Sustainable Living,2,534,,Y204,蕭戎,通識中心,50,40,10,中文,
人文,文化,0314,臺灣環境與永續生活 Taiwan's Environment and Sustainable Living,2,556,,Y204,蕭戎,通識中心,50,42,8,中文,
人文,文學,0315,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,43,7,中文,含彈性教學
人文,文學,0316,文學探索 Exploring Literature,2,378,,Y301,蔡林縉,通識中心,31,29,2,中文,
人文,文學,0317,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,38,4,中文,含彈性教學
人文,哲學,0321,生命教育 Life Education,2,212,,*,楊謦綺,通識中心,60,0,60,中文,"(未成班,停開)"
人文,哲學,0322,生命教育 Life Education,2,412,,Y308,楊謦綺,通識中心,60,14,46,中文,
人文,哲學,0323,中醫哲學 Philosophy of Chinese Medicine,2,489,,Y409,翁碩駿等,通識中心,20,17,3,中文,不開放特殊加簽
人文,哲學,0324,生命教育 Life Education,2,334,,Y208,賴淑蘭,通識中心,40,36,4,中文,建議學士班學生修習，無法使用中文的同學請勿選此門課
人文,哲學,0325,哲學概論 Introduction to Philosophy,2,234,,Y212,張盈馨,通識中心,60,67,0,中文,含彈性教學
人文,歷史,0329,近百年臺灣發展與變遷 Modern Taiwan History,2,534,,Y203,陳慧先,通識中心,50,52,0,中文,含彈性教學
人文,歷史,0330,近百年臺灣發展與變遷 Modern Taiwan History,2,556,,Y203,陳慧先,通識中心,50,55,0,中文,含彈性教學
人文,歷史,0331,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y207,黃純怡,通識中心,60,60,0,中文,
人文,歷史,0332,現代世界的形成 The Formation of Modern World,2,278,,Y212,許朝祺,通識中心,50,46,4,中文,含彈性教學
人文,歷史,0333,現代商業史 A History of Modern Business,2,134,,Y409,林志龍,通識中心,60,64,0,中文,"新開設遠距課程，非同步遠距教學,含彈性教學"
人文,歷史,0334,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y307,李毓嵐,通識中心,50,48,2,中文,含彈性教學
人文,歷史,0335,電影中的西洋古典史 Classical History in Films,2,334,,Y104,范姜士璁,通識中心,100,92,8,中文,含彈性教學
人文,歷史,0336,電影中的西洋古典史 Classical History in Films,2,356,,Y104,范姜士璁,通識中心,100,82,18,中文,含彈性教學
人文,歷史,0337,西方健康文化史 Western Cultural History of Health,2,378,,Y302,陳樂元,通識中心,50,51,0,中文,含彈性教學
人文,藝術,0341,英國電視喜劇 British TV Comedy,2,256,,A712,廖瑩芝,通識中心,36,22,14,英文/EMI,"English Conducting,含彈性教學"
人文,藝術,0343,藝術的故事 The Story of Art,2,256,,Y202,劉瑞寬,通識中心,50,50,0,中文,
人文,藝術,0344,古典音樂賞析 Classical Music Appreciation,2,112,,Y112,陳彥蓉,通識中心,100,103,0,中文,不開放特殊加簽
人文,藝術,0345,古典音樂賞析 Classical Music Appreciation,2,134,,Y112,陳彥蓉,通識中心,100,101,0,中文,不開放特殊加簽
人文,藝術,0346,古典音樂賞析 Classical Music Appreciation,2,156,,Y112,李美賢,通識中心,100,65,35,中文,含彈性教學
人文,藝術,0347,古典音樂賞析 Classical Music Appreciation,2,178,,Y112,李美賢,通識中心,100,49,51,中文,含彈性教學
人文,藝術,0348,古典音樂賞析 Classical Music Appreciation,2,412,,Y112,陳欣宜,通識中心,100,66,34,中文,"不開放特殊加簽,含彈性教學"
人文,藝術,0349,古典音樂賞析 Classical Music Appreciation,2,434,,Y112,陳欣宜,通識中心,100,74,26,中文,"不開放特殊加簽,含彈性教學"
人文,藝術,0350,英國當代劇場 Contemporary British Theatre,2,278,,*,廖瑩芝,通識中心,36,0,36,英文/EMI,"(未成班,停開) English Conducting,含彈性教學"
人文,藝術,0351,電影美學 Cinematic Aesthetics,2,256,,Y204,何智勇,通識中心,70,68,2,中文,
人文,文化,0101,歷史·生活與學習 Life and Learning in History,2,2AB,,Y304,宋德喜,夜不限系別,50,24,26,中文,
