領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
統合,專業實作,0201,美術工作坊 Art Workshop,2,134,,Y605,蕭怡姍,通識中心,40,48,0,中文,
統合,專業實作,0202,美術工作坊 Art Workshop,2,256,,Y605,鄧文貞,通識中心,40,45,0,中文,
統合,專業實作,0203,美術工作坊 Art Workshop,2,334,,Y605,洪鈞元,通識中心,40,47,0,中文,
統合,專業實作,0204,美術工作坊 Art Workshop,2,356,,Y605,蔡佩儒,通識中心,40,40,0,中文,
統合,專業實作,0206,園藝與生活 Horticulture and Living,2,189,,H300,林慧玲等,通識中心,65,67,0,中文,
統合,專業實作,0207,財務管理與投資 Financial Management and Investment,2,467,,SC111,李超雄,通識中心,150,111,39,中文,建議非管院大三、大四同學選修
統合,專業實作,0208,國際禮儀與專業形象 International Etiquette and Professional Image,2,456,,Y605,彭瑞芝,通識中心,40,40,0,中文,"不開放特殊加簽,含彈性教學"
統合,專業實作,0209,國際禮儀與專業形象 International Etiquette and Professional Image,2,478,,Y605,彭瑞芝,通識中心,40,39,1,英文/EMI,"含彈性教學,English Conducting. Addition for Special Cases is not accepted."
統合,專業實作,0210,股市投資模擬實作 Stock Investment Simulation and Practice,3,2678,,SC111,張樹之,通識中心,150,115,35,中文,考試以英文命題
統合,專業實作,0211,日治圖像學 The Iconology during Japanese’ Colonial Period,2,156,,Y605,蕭怡姍,通識中心,40,47,0,中文,
統合,專業實作,0212,太極拳基礎 Basic Tai Chi,2,478,,Y411,林彥佑,通識中心,24,24,0,中文,1.上課請穿球鞋及寬鬆衣服; 2.部分課程須兩人一組對練
統合,專業實作,0213,文本探勘：小技術大應用 Text Mining: Small Skill and Big Application,3,2234,,LI412,許健將,通識中心,40,24,16,中文,含彈性教學
統合,專業實作,0215,生活與醫療科技 Life and Medical Technology,2,278,,Y211,李岳聰等,通識中心,20,21,0,中文,不開放特殊加簽
統合,專業實作,0216,生活與醫療科技 Life and Medical Technology,2,356,,Y211,林志明等,通識中心,20,20,0,中文,不開放特殊加簽
統合,專業實作,0217,生活與醫療科技 Life and Medical Technology,2,478,,Y211,林晏任等,通識中心,20,20,0,中文,不開放特殊加簽
統合,專業實作,0218,摺紙數學之藝術 Art of Mathematical Origami,2,178,,Y605,李林滄,通識中心,40,40,0,中文,含彈性教學
統合,專業實作,0219,摺紙數學之藝術 Art of Mathematical Origami,2,334,,Y411,李林滄,通識中心,40,40,0,中文,含彈性教學
統合,專業實作,0220,進階攝影 Advanced Photography,2,356,,Y305,王銘滄,通識中心,50,48,2,中文,
統合,專業實作,0221,人文藝術博物館巡禮 A Tour of the Museum of Humanities and Art,2,278,,Y204,何智勇,通識中心,70,70,0,中文,
統合,專業實作,0223,紙質文物框裱技術與實作 Implementation of Paper Artifacts' Framing and Mounting,2,434,,Y102,沈熙巖,通識中心,31,31,0,中文,
統合,專業實作,0224,Podcast數位實戰攻略 Tips for Recording Digital Podcasts,2,156,,Y307,解昆樺,通識中心,40,37,3,中文,非同步遠距教學+實體面授
統合,專業實作,0225,體驗生活中的醫學 Experience Course of Medicine and Life,2,178,,Y211,黃偉彰,通識中心,20,20,0,中文,1.本課程有安排戶外教學參訪，修課同學需於星期一13~18時無修課衝突; 2.不開放特殊加簽
統合,專業實作,0226,"圖像、創作與藝術治療 Graphics, Creation and Art Therapy",2,212,,Y605,蕭怡姍,通識中心,40,47,0,中文,
統合,專業實作,0227,"圖像、創作與藝術治療 Graphics, Creation and Art Therapy",2,234,,Y605,蕭怡姍,通識中心,40,48,0,中文,
統合,專業實作,0228,"永續資源、能源暨碳管理 Sustainable Energy, Resource and Carbon Management",3,1789,,Y203,王鴻勳,通識中心,50,14,36,中文,含彈性教學
統合,專業實作,0229,經濟植物應用實作 Economic Botany Application and Practice,2,278,,Y605,劉思謙,通識中心,40,40,0,中文,不開放特殊加簽
統合,專業實作,0230,生態旅遊 Ecotourism,2,334,,AN514,謝淳仁,通識中心,31,30,1,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0231,生態旅遊 Ecotourism,2,356,,AN514,謝淳仁,通識中心,31,30,1,中文,本課程需配合校外教學，請同學考量課程時間
統合,專業實作,0232,寵物義診 Veterinary Volunteer Clinic for Companion Animals,2,556,,QA001,林荀龍等,通識中心,31,38,0,中文,獸醫系優先，且於週五下午1點 ~ 5點至動物收容中心，建議下午未排課的同學選修。
統合,跨域學習,0290,通識專題製作 Individual Project on General Education,2,*,,*,李超雄,通識中心,0,2,0,中文,
統合,跨域學習,0295,跨域自主學習（一） Cross-field Self-Directed Learning (I),1,*,,*,全體教師,通識中心,0,34,0,中文,自主學習點數18點
統合,跨域學習,0296,跨域自主學習（二） Cross-field Self-Directed Learning (II),1,*,,*,全體教師,通識中心,0,10,0,中文,自主學習點數18點
統合,微型課程,0297,通識學習拼圖（一） Learning Puzzle of General Education (I),1,*,,*,全體教師,通識中心,0,305,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0298,通識學習拼圖（二） Learning Puzzle of General Education (II),1,*,,*,全體教師,通識中心,0,167,0,中文,通識微型課程授課時數累計18小時
統合,微型課程,0299,通識學習拼圖（三） Learning Puzzle of General Education (III),1,*,,*,全體教師,通識中心,0,40,0,中文,通識微型課程授課時數累計18小時
統合,專業實作,0103,美術工作坊 Art Workshop,2,2AB,,Y605,鄧文貞,夜不限系別,40,39,1,中文,
