選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,L216,林建良,通識中心,35,34,中文,上課時間：01-09週(環工系-前26位)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC549,林建良,通識中心,35,31,中文,上課時間：01-09週(材料系-前26位)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,01-09週,U701,林建良,通識中心,40,35,中文,上課時間：01-09週(昆蟲系-前37位)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,L216,林建良,通識中心,35,33,中文,上課時間：01-09週(企管系-前30位)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,378,01-09週,L216,林建良,通識中心,45,45,中文,上課時間：01-09週(園藝系)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,01-09週,L216,林建良,通識中心,45,32,中文,上課時間：01-09週(獸醫系A班)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,01-09週,U701,謝育龍,通識中心,40,34,中文,上課時間：01-09週(物理系A班)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,01-09週,S821,謝育龍,通識中心,45,45,中文,上課時間：01-09週(法律系)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,謝育龍,通識中心,40,38,中文,上課時間：01-09週(中文系-前38位)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,35,24,中文,上課時間：01-09週(化學系-前27位) 4/14於S1002上課
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,L216,林建良,通識中心,40,25,中文,上課時間：10-18週(環工系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC549,林建良,通識中心,40,27,中文,上課時間：10-18週(材料系)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,10-18週,U701,林建良,通識中心,40,33,中文,上課時間：10-18週(昆蟲系+景觀學程)
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,L216,林建良,通識中心,40,33,中文,上課時間：10-18週(企管系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,378,10-18週,L216,林建良,通識中心,45,27,中文,上課時間：10-18週(生技學程)
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,10-18週,L216,林建良,通識中心,45,31,中文,上課時間：10-18週(獸醫系B班)
0617,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,10-18週,U701,謝育龍,通識中心,40,29,中文,上課時間：10-18週(物理系B班)
0618,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,S821,謝育龍,通識中心,45,35,中文,上課時間：10-18週(中文系+台文學士)
0619,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556 556,10-18週,S1002 S821,謝育龍,通識中心,40,22,中文,"上課時間：10-18週(化學系), 4/21~5/5於S1002上課, 餘在S821"
