選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0900,大一英文 C Freshman English,全,2,256,AA202,陳昭蓉,語言中心,0,34,英文,限法律.昆蟲.獸醫AB.土環.食生.資工.資管選修
0901,大一英文 A Freshman English,全,2,378,AA303,劉鳳芯,語言中心,0,19,英文,"限歷史.農藝.森林AB.環工.國農企學程.台文學士選修,含彈性教學"
0902,大一英文 B Freshman English,全,2,378,AA203,林建光,語言中心,0,37,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士選修
0903,大一英文 C Freshman English,全,2,378,AA501,徐筱玲,語言中心,0,46,中/英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士選修
0904,大一英文 C Freshman English,全,2,378,AA202,陳國豪,語言中心,0,47,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士選修
0905,大一英文 C Freshman English,全,2,378,AA402,林雅文,語言中心,0,50,英文,限歷史.農藝.森林AB.環工.國農企學程.台文學士選修
0906,大一英文 A Freshman English,全,2,278,AA301,強勇傑,語言中心,0,26,英文,限植病.行銷.化學.應數AB.物理選修，含彈性教學
0907,大一英文 A Freshman English,全,2,278,AA401,施以明,語言中心,0,23,英文,"限植病.行銷.化學.應數AB.物理選修。使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
0908,大一英文 B Freshman English,全,2,278,AA402,李順興,語言中心,0,39,英文,限植病.行銷.化學.應數AB.物理選修
0909,大一英文 B Freshman English,全,2,278,AA203,林建光,語言中心,0,33,英文,限植病.行銷.化學.應數AB.物理選修
0910,大一英文 C Freshman English,全,2,278,AA302,莊惠婷,語言中心,0,36,中/英文,限植病.行銷.化學.應數AB.物理系選修
0911,大一英文 C Freshman English,全,2,278,AA303,陳俐亨,語言中心,0,39,英文,"限植病.行銷.化學.應數AB.物理選修。使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
0912,大一英文 C Freshman English,全,2,278,AA202,陳昭蓉,語言中心,0,39,英文,限植病.行銷.化學.應數AB.物理選修
0913,大一英文 A Freshman English,全,2,456,AA303,陳宥廷,語言中心,0,32,英文,限企管.應經.生科.材料.生機.會計選修;含彈性教學
0914,大一英文 A Freshman English,全,2,456,AA201,潘衍至,語言中心,0,32,英文,限企管.應經.生科.材料.生機.會計選修
0915,大一英文 B Freshman English,全,2,456,AA203,張玉芳,語言中心,0,38,英文,限企管.應經.生科.材料.生機.會計選修
0916,大一英文 B Freshman English,全,2,456,AA302,周幸君,語言中心,0,38,英文,限企管.應經.生科.材料.生機.會計選修
